frame, median, q1, q3
1,118.000000, 84.000000, 158.000000
2,118.000000, 84.000000, 158.000000
3,118.000000, 84.000000, 158.000000
4,116.000000, 85.000000, 157.000000
5,116.000000, 85.000000, 158.000000
6,118.000000, 84.000000, 158.000000
7,118.000000, 85.000000, 160.000000
8,118.000000, 85.000000, 158.000000
9,118.000000, 86.000000, 158.000000
10,118.000000, 85.000000, 158.000000
11,118.000000, 85.000000, 160.000000
12,118.000000, 85.000000, 158.000000
13,118.000000, 85.000000, 160.000000
14,118.000000, 85.000000, 158.000000
15,118.000000, 85.000000, 157.000000
16,118.000000, 85.000000, 157.000000
17,118.000000, 86.000000, 158.000000
18,118.000000, 85.000000, 157.000000
19,118.000000, 85.000000, 157.000000
20,118.000000, 85.000000, 158.000000
21,118.000000, 85.000000, 158.000000
22,118.000000, 85.000000, 157.000000
23,118.000000, 85.000000, 157.000000
24,118.000000, 85.000000, 157.000000
25,118.000000, 85.000000, 158.000000
26,116.000000, 85.000000, 158.000000
27,118.000000, 85.000000, 157.000000
28,118.000000, 85.000000, 158.000000
29,118.000000, 85.000000, 158.000000
30,118.000000, 85.000000, 158.000000
31,118.000000, 85.000000, 158.000000
32,118.000000, 85.000000, 157.000000
33,118.000000, 85.000000, 158.000000
34,118.000000, 85.000000, 157.000000
35,118.000000, 84.000000, 158.000000
36,118.000000, 85.000000, 158.000000
37,116.000000, 84.000000, 157.250000
38,118.000000, 85.000000, 158.000000
39,116.000000, 85.000000, 157.000000
40,116.000000, 85.000000, 158.000000
41,116.000000, 84.000000, 158.000000
42,116.000000, 85.000000, 157.000000
43,116.000000, 85.000000, 157.000000
44,116.000000, 85.000000, 157.000000
45,118.000000, 85.000000, 158.000000
46,118.000000, 85.000000, 158.000000
47,118.000000, 85.000000, 158.000000
48,118.000000, 85.000000, 158.000000
49,118.000000, 85.000000, 158.000000
50,116.000000, 85.000000, 157.000000
51,118.000000, 85.000000, 158.000000
52,116.000000, 85.000000, 157.000000
53,118.000000, 86.000000, 158.000000
54,118.000000, 85.000000, 158.000000
55,118.000000, 85.000000, 158.000000
56,118.000000, 85.000000, 158.000000
57,118.000000, 85.000000, 157.000000
58,118.000000, 85.000000, 157.000000
59,116.000000, 85.000000, 157.000000
60,118.000000, 85.000000, 157.000000
61,118.000000, 85.000000, 156.000000
62,118.000000, 85.000000, 157.000000
63,118.000000, 85.000000, 158.000000
64,118.000000, 85.000000, 158.000000
65,118.000000, 85.000000, 157.000000
66,118.000000, 85.000000, 158.000000
67,118.000000, 85.000000, 158.000000
68,118.000000, 85.000000, 158.000000
69,118.000000, 85.000000, 157.000000
70,118.000000, 85.000000, 157.000000
71,118.000000, 85.000000, 157.000000
72,118.000000, 85.000000, 157.000000
73,118.000000, 85.000000, 157.000000
74,118.000000, 85.000000, 158.000000
75,118.000000, 85.000000, 158.000000
76,118.000000, 84.000000, 158.000000
77,118.000000, 84.000000, 157.000000
78,118.000000, 85.000000, 157.000000
79,118.000000, 85.000000, 157.000000
80,118.000000, 85.000000, 158.000000
81,118.000000, 85.000000, 157.000000
82,118.000000, 85.000000, 157.000000
83,118.000000, 85.000000, 157.000000
84,118.000000, 85.000000, 157.000000
85,118.000000, 85.000000, 157.000000
86,118.000000, 85.000000, 158.000000
87,118.000000, 85.000000, 158.000000
88,118.000000, 85.000000, 158.000000
89,118.000000, 85.000000, 158.000000
90,118.000000, 85.000000, 157.000000
91,118.000000, 85.000000, 157.000000
92,118.000000, 85.000000, 158.000000
93,118.000000, 85.000000, 158.000000
94,118.000000, 85.000000, 157.000000
95,118.000000, 85.000000, 158.000000
96,118.000000, 85.000000, 158.000000
97,118.000000, 85.000000, 158.000000
98,118.000000, 85.000000, 158.000000
99,118.000000, 85.000000, 160.000000
100,118.000000, 85.000000, 158.000000
101,118.000000, 85.000000, 158.000000
102,118.000000, 85.000000, 158.000000
103,118.000000, 85.000000, 158.000000
104,118.000000, 85.000000, 158.000000
105,118.000000, 85.000000, 158.000000
106,118.000000, 85.000000, 158.000000
107,118.000000, 85.000000, 158.000000
108,118.000000, 85.000000, 158.000000
109,118.000000, 85.000000, 158.000000
110,118.000000, 85.000000, 158.000000
111,118.000000, 85.000000, 158.000000
112,118.000000, 85.000000, 158.000000
113,118.000000, 85.000000, 158.000000
114,118.000000, 85.000000, 158.000000
115,118.000000, 85.000000, 158.000000
116,118.000000, 85.000000, 158.000000
117,118.000000, 85.000000, 157.000000
118,118.000000, 85.000000, 157.000000
119,116.000000, 85.000000, 158.000000
120,118.000000, 85.000000, 158.000000
121,118.000000, 85.000000, 160.000000
122,118.000000, 85.000000, 158.000000
123,118.000000, 85.000000, 158.000000
124,118.000000, 85.000000, 158.000000
125,118.000000, 85.000000, 158.000000
126,118.000000, 85.000000, 158.000000
127,118.000000, 85.000000, 158.000000
128,118.000000, 85.000000, 158.000000
129,118.000000, 85.000000, 158.000000
130,118.000000, 85.000000, 158.000000
131,118.000000, 85.000000, 158.000000
132,118.000000, 85.000000, 158.000000
133,118.000000, 86.000000, 158.000000
134,118.000000, 85.000000, 157.000000
135,118.000000, 85.000000, 157.000000
136,118.000000, 85.000000, 158.000000
137,118.000000, 85.000000, 158.000000
138,118.000000, 85.000000, 158.000000
139,118.000000, 85.000000, 157.000000
140,118.000000, 85.750000, 157.000000
141,118.000000, 85.000000, 157.000000
142,118.000000, 85.000000, 158.000000
143,118.000000, 85.000000, 158.000000
144,118.000000, 85.000000, 158.000000
145,118.000000, 85.000000, 158.000000
146,118.000000, 85.000000, 157.000000
147,118.000000, 86.000000, 158.000000
148,118.000000, 86.000000, 158.000000
149,118.000000, 85.000000, 158.000000
150,118.000000, 86.000000, 158.000000
